author,platform,country,stars,date,issue_tag,body,suggested_reply,review_id
Small Traveller,Android,"th,us",1,2026-08-27,bug,"Cannot use, this app is very particular what kind of people and phone can use it. Very special app for special people only.","Sorry the app wouldn't open on your phone. We currently block some Android setups. That's on us, not your device. Flagged for the app team.",b5ddca46-080e-47a5-b9d7-45e99f062829
Hans Rume,Android,"th,us",1,2026-08-24,other,Prices for the largest donkeys. All products are several times more expensive than in other stores. Avoid this scaaaaaam.,"Sorry the prices felt wrong. App prices should match the store. If an item was higher, send us the name and we'll check — we don't add a hidden markup.",25b59108-ecba-45fa-9662-56e43930b479
Rickard Modig,Android,"th,us",1,2026-08-11,bug,app won't start unless you disable developer mode. also ridiculous to charge 140 for delivery when most other shops deliver practically for free. i could even schedule grab pickup myself for half that price.,"Sorry the app blocks phones with Developer Options on. That's a real limit on our side, not a security win — Thai bank apps allow it. We've sent it to the Android team.",12517ab9-6fa1-4be2-8695-8edb063d5c4e
Alexey Efimov,Android,"th,us",1,2026-08-09,bug,"The app refuses to open when Developer Mode is enabled. This is an absurd restriction that provides no meaningful security benefit. As a developer, I need Developer Mode enabled, and I should not have to disable it just to use a grocery store app. Terrible design decision.","Sorry the app blocks phones with Developer Options on. That's a real limit on our side, not a security win — Thai bank apps allow it. We've sent it to the Android team.",ea5a3153-5ebb-4576-a6d3-4ad5fb01ef22
RifRifRif8,iOS,ae,1,2026-08-08,bug,"Despite the Villa market store and products are at top level, but their app is just pure disaster, i have never experienced anything worse as this app. It’s getting worse with every update, you can’t select properly, can’t search properly, you can’t press the buttons, it all does","Sorry the app is this broken — search, buttons, and updates failing is on us. We've passed your note to the app team.",14402328144
Thanva Tivawong,Android,"th,us",1,2026-08-03,bug,โหลดค้างอยู่หน้าแรก ยังเข้าแอพไม่ได้เลยครับ,ขออภัยที่แอปค้างหน้าแรก เข้าใช้งานไม่ได้ เราได้รับเรื่องแล้วและส่งต่อให้ทีมแอป,e9c3f2f4-ed65-4991-bd54-7eeee313610a
Hugh Musbekidding,Android,"th,us",2,2026-07-31,bug,Latest release takes forever to open. Stopped using at shopping till - faster to just give my phone number.,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,da158192-3c33-4ed2-bb77-2f4e6592d801
S De Silva,Android,"th,us",1,2026-07-19,bug,"Not compatible with Android Developer Mode? There are no security issues tied to this mode, all Thai banks support it. If you're developer says otherwise, get another developer.","Sorry the app blocks phones with Developer Options on. That's a real limit on our side, not a security win — Thai bank apps allow it. We've sent it to the Android team.",7eb6508b-4432-4f8a-a3a8-05c4d2f8a5c6
Sorsola,iOS,nl,3,2026-07-07,checkout,"Changed my card details months ago. I ask it to save my new card details every single time and it never does.

The search isn’t great.  Quick example: I want to buy Mainland Tasty Cheese. I type in “cheese” and it doesn’t appear in the results. I have to type in “Mainland” for it",Sorry your card never saves and search misses products unless you type the brand. Both are known issues. We've sent them to the app team — no fake timeline.,14272285896
Stoh Nick,Android,"th,us",2,2026-06-30,stock,A waste of my time. It tells me the entire store is out of stock on juice. Any and all kinds of juice are out of stock. that's not true.,Sorry the app showed items as out of stock or forced a store change. We've passed this to the app and inventory teams.,46f91476-3517-4ef8-8781-de4ae0ae895b
dhdkdkskkskskslala,iOS,th,1,2026-06-29,delivery,สั่งไปหลายครั้งทำแบบเดิมทุกครั้งไม่คิดจะปรับปรับหน่อยหรอคะหน้าร้านบริการก้แย่เดลิเวอรี่ก้แย่ปรับปรุงแล้วคัดพนักงานหน่อยค่ะแล้วจัดส่งด่วนนี้มีไว้ทำไมคะด่วนกี่โมงบอกภายใน1ชมแต่คือกว่าจะได้2ชมกว่าถ้าแค่คิดว่าตัวเองมีของหลายอย่างที่ที่อื่นไม่ทีงั้นอยู่กับที่ไปเถอะค่ะ,ขออภัยที่จัดส่งด่วนมาช้ากว่าที่สัญญา เราจะส่งต่อให้ทีมจัดส่ง,14242701494
Pimnara Y.,Android,"th,us",1,2026-06-19,stock,"สั่งได้แต่ของแห้ง ของสดสั่งไม่ได้ ควรปรับปรุง แอพอื่น เช่น 7-11, Lotus, Tops, Makro สั่งได้ทุกอย่าง ส่งทุกอย่าง แล้วใครจะใช้แอพ Villa",ขออภัยที่สั่งของสดไม่ได้ เราทราบว่าแอปจำกัดบางหมวด กำลังส่งต่อให้ทีมแอปกับทีมสต็อก,f217b018-0ca0-4a7c-9dd7-2732611fdabb
Will Rodgers,Android,"th,us",1,2026-05-22,bug,apps broken,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,5883a6ee-30a3-4e60-807f-adcff02d60ed
Tom Roberts,Android,"th,us",1,2026-05-17,bug,spent 30 mins shopping and signing up but the app couldn't send verification OTOP code to email.lr.phone number. Waste of time😔,Sorry the OTP or login flow failed. We know codes sometimes never arrive. Passed to the app team — no fake promise on timing.,fb10c4cb-a831-4b43-9026-9f1bb0e310d4
cacknise,iOS,sg,1,2026-05-15,bug,Latest update does not work at all!,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,14065578902
Expat20266,iOS,us,1,2026-04-19,bug,The app constantly stops working. Don't have this problem with Gourmet Market!,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,13973084752
Dakota,Android,"th,us",1,2026-04-09,bug,very low quality and performance app. everything else on my phone works perfectly fine but this app. don't download it!,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,111f417a-ef53-4d66-9e6c-3a6bcef7e8b3
Nice Paul,iOS,th,2,2026-03-27,checkout,"After paying for the order, the goods still appear in the cart and the app shows ‘processing payment’ even after payment has gone through. I’ve brought this to the attention of their customer service maybe a dozen times but it never gets fixed. Extremely disappointing.",Sorry the cart still shows paid items and stays on processing payment. That's a real checkout bug. We've sent it to the app/payments team.,13891312626
Farang working in Thailand,iOS,th,1,2026-03-20,checkout,"Living in Bangkok and everyone told me to shop at Villa for western groceries. I thought, ok cool. Let’s try ordering delivery. Download the app. Doesn’t load. Open close open close. Finally opens. Select the location closest to me. Fill my cart. Asks to verify phone number. Put ","Sorry delivery was late, expensive, or untracked. We've sent your note to the delivery team.",13866633341
John Foderaro,Android,"th,us",3,2026-03-18,bug,otp working again. I still would like fingerprint authorization rather than pin authorization,Sorry the OTP or login flow failed. We know codes sometimes never arrive. Passed to the app team — no fake promise on timing.,794d2d7b-669f-4491-af96-0d3dad3fcf1f
Stephan Menzel,Android,"th,us",1,2026-03-17,bug,"Firstly, the app forced me to update to the latest version, only to show a message ""this application is incompatible with developer mode..."". My phone is my property and I decide whether or not I need the developer mode. Villa app uninstalled!","Sorry the app blocks phones with Developer Options on. That's a real limit on our side, not a security win — Thai bank apps allow it. We've sent it to the Android team.",35bbd617-b496-4a5d-b735-c3f14e5c434c
Kittipoj T.,Android,"th,us",1,2026-03-15,stock,"can't select the brach that want order and when select the brach that the app force, the item is out of stock. So the villa supermarket can't get the order",Sorry the app forces the nearest store and can wipe the cart or show false out-of-stock. That's a real bug. We've sent it to the app team.,66c7a00f-b83f-47c8-aea3-bedd4135bef6
Adrian Lines,Android,"th,us",1,2026-03-15,bug,"Being told that I can't have Developer Mode activated, what has this got to do with Villa Market? Uninstalled","Sorry the app blocks phones with Developer Options on. That's a real limit on our side, not a security win — Thai bank apps allow it. We've sent it to the Android team.",aa429c98-8c1d-4520-89b0-158f7fa4eaa6
greendaisy1,iOS,th,1,2026-03-11,bug,"It keeps saying that my password is incorrect, so I clicked on Forget Password and entered my phone number and Continue. But nothing showed up, except when I clicked Continue three times, it said that I have exceeded the attempt limit. Useless and non-functional app. There is no ",Sorry the OTP or login flow failed. We know codes sometimes never arrive. Passed to the app team — no fake promise on timing.,13836518270
Henry Cordy,Android,"th,us",1,2026-02-13,stock,"You can't order from a store that is further away from you. If you select a store that has the items in stock, then it forces you to pick a different store at checkout, and you lose the items you wanted if they are out of stock. They also have order via Line option. But this does",Sorry the app forces the nearest store and can wipe the cart or show false out-of-stock. That's a real bug. We've sent it to the app team.,1dbabfc5-6735-4261-9d83-f4a66b5c1784
Christina Jigström,Android,se,2,2026-02-11,bug,går inte öppna,Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,bd22555a-c38c-40d9-a93b-6faf5327b437
Илья Автокожа,Android,ru,2,2026-01-21,bug,"no open ,don't work! only white scrine!!!! Huawei mate x6",Sorry this went badly. We've read the review and sent it to the team that owns the issue. No public reply until we can be specific.,10bcf8eb-1c0e-4bb5-a9f2-acd5d9ecc144
