author,platform,country,stars,date,issue_tag,body
Small Traveller,Android,"th,us",1,2026-08-27,bug,"Cannot use, this app is very particular what kind of people and phone can use it. Very special app for special people only."
Hans Rume,Android,"th,us",1,2026-08-24,other,Prices for the largest donkeys. All products are several times more expensive than in other stores. Avoid this scaaaaaam.
Rickard Modig,Android,"th,us",1,2026-08-11,bug,app won't start unless you disable developer mode. also ridiculous to charge 140 for delivery when most other shops deliver practically for free. i could even schedule grab pickup myself for half t...
Alexey Efimov,Android,"th,us",1,2026-08-09,bug,"The app refuses to open when Developer Mode is enabled. This is an absurd restriction that provides no meaningful security benefit. As a developer, I need Developer Mode enabled, and I should not h..."
RifRifRif8,iOS,ae,1,2026-08-08,bug,"Despite the Villa market store and products are at top level, but their app is just pure disaster, i have never experienced anything worse as this app. It’s getting worse with every update, you can..."
Thanva Tivawong,Android,"th,us",1,2026-08-03,bug,โหลดค้างอยู่หน้าแรก ยังเข้าแอพไม่ได้เลยครับ
Hugh Musbekidding,Android,"th,us",2,2026-07-31,bug,Latest release takes forever to open. Stopped using at shopping till - faster to just give my phone number.
S De Silva,Android,"th,us",1,2026-07-19,bug,"Not compatible with Android Developer Mode? There are no security issues tied to this mode, all Thai banks support it. If you're developer says otherwise, get another developer."
Sorsola,iOS,nl,3,2026-07-07,checkout,Changed my card details months ago. I ask it to save my new card details every single time and it never does.  The search isn’t great.  Quick example: I want to buy Mainland Tasty Cheese. I type in...
Stoh Nick,Android,"th,us",2,2026-06-30,stock,A waste of my time. It tells me the entire store is out of stock on juice. Any and all kinds of juice are out of stock. that's not true.
dhdkdkskkskskslala,iOS,th,1,2026-06-29,delivery,สั่งไปหลายครั้งทำแบบเดิมทุกครั้งไม่คิดจะปรับปรับหน่อยหรอคะหน้าร้านบริการก้แย่เดลิเวอรี่ก้แย่ปรับปรุงแล้วคัดพนักงานหน่อยค่ะแล้วจัดส่งด่วนนี้มีไว้ทำไมคะด่วนกี่โมงบอกภายใน1ชมแต่คือกว่าจะได้2ชมกว่าถ้าแ...
Pimnara Y.,Android,"th,us",1,2026-06-19,stock,"สั่งได้แต่ของแห้ง ของสดสั่งไม่ได้ ควรปรับปรุง แอพอื่น เช่น 7-11, Lotus, Tops, Makro สั่งได้ทุกอย่าง ส่งทุกอย่าง แล้วใครจะใช้แอพ Villa"
Will Rodgers,Android,"th,us",1,2026-05-22,bug,apps broken
Tom Roberts,Android,"th,us",1,2026-05-17,bug,spent 30 mins shopping and signing up but the app couldn't send verification OTOP code to email.lr.phone number. Waste of time😔
cacknise,iOS,sg,1,2026-05-15,bug,Latest update does not work at all!
Expat20266,iOS,us,1,2026-04-19,bug,The app constantly stops working. Don't have this problem with Gourmet Market!
Dakota,Android,"th,us",1,2026-04-09,bug,very low quality and performance app. everything else on my phone works perfectly fine but this app. don't download it!
Nice Paul,iOS,th,2,2026-03-27,checkout,"After paying for the order, the goods still appear in the cart and the app shows ‘processing payment’ even after payment has gone through. I’ve brought this to the attention of their customer servi..."
Farang working in Thailand,iOS,th,1,2026-03-20,checkout,"Living in Bangkok and everyone told me to shop at Villa for western groceries. I thought, ok cool. Let’s try ordering delivery. Download the app. Doesn’t load. Open close open close. Finally opens...."
John Foderaro,Android,"th,us",3,2026-03-18,bug,otp working again. I still would like fingerprint authorization rather than pin authorization
Stephan Menzel,Android,"th,us",1,2026-03-17,bug,"Firstly, the app forced me to update to the latest version, only to show a message ""this application is incompatible with developer mode..."". My phone is my property and I decide whether or not I n..."
Kittipoj T.,Android,"th,us",1,2026-03-15,stock,"can't select the brach that want order and when select the brach that the app force, the item is out of stock. So the villa supermarket can't get the order"
Adrian Lines,Android,"th,us",1,2026-03-15,bug,"Being told that I can't have Developer Mode activated, what has this got to do with Villa Market? Uninstalled"
greendaisy1,iOS,th,1,2026-03-11,bug,"It keeps saying that my password is incorrect, so I clicked on Forget Password and entered my phone number and Continue. But nothing showed up, except when I clicked Continue three times, it said t..."
Henry Cordy,Android,"th,us",1,2026-02-13,stock,"You can't order from a store that is further away from you. If you select a store that has the items in stock, then it forces you to pick a different store at checkout, and you lose the items you w..."
Christina Jigström,Android,se,2,2026-02-11,bug,går inte öppna
Илья Автокожа,Android,ru,2,2026-01-21,bug,"no open ,don't work! only white scrine!!!! Huawei mate x6"
AzmieLife,Android,th,1,2026-01-17,bug,ติดต่อเจ้าหน้าที่ไม่ได้ ลงทะเบียนไม่ได้ สรุป ถอนการติดตั้ง
Orientix,iOS,hk,1,2026-01-16,bug,"Cannot log in. Apparently new app. They indicate to create new account using old tel number. Does not work. Cannot create. Also tried on website. Only many error messages. Sent email, they don’t re..."
Paid member,iOS,us,3,2026-01-10,bug,Cannot complete wallet setup because app freezes and crashes
Jim Don,Android,"th,us",1,2026-01-04,bug,Doesn't send OTP - wasted my time
