author,platform,country,stars,date,issue_tag,body,suggested_reply,review_id
Hugh Musbekidding,android,"th,us",2,2026-07-31T03:39:12Z,bug,Latest release takes forever to open. Stopped using at shopping till - faster to just give my phone number.,"Sorry the latest release takes so long to open that you gave up at the till. Please update the Android app, clear its cache, and try again. If launch is still slow, contact us via Live Chat in the app or email online@villamarket.com with your phone model and Android version.",da158192-3c33-4ed2-bb77-2f4e6592d801
S De Silva,android,"th,us",1,2026-07-19T04:11:30Z,bug,"Not compatible with Android Developer Mode? There are no security issues tied to this mode, all Thai banks support it. If you're developer says otherwise, get another developer.","Agreed — Developer Mode isn't a security threat here, and Thai banks allow it. Blocking the app for that is on us. We've pushed the Android team to drop this restriction.",7eb6508b-4432-4f8a-a3a8-05c4d2f8a5c6
Stoh Nick,android,"th,us",2,2026-06-30T09:47:07Z,stock,A waste of my time. It tells me the entire store is out of stock on juice. Any and all kinds of juice are out of stock. that's not true.,Sorry the app claimed every juice in the store was out of stock when it wasn't. False OOS is a real inventory/app bug — we've sent it to the app and stock teams.,46f91476-3517-4ef8-8781-de4ae0ae895b
Pimnara Y.,android,"th,us",1,2026-06-19T12:39:35Z,stock,"สั่งได้แต่ของแห้ง ของสดสั่งไม่ได้ ควรปรับปรุง แอพอื่น เช่น 7-11, Lotus, Tops, Makro สั่งได้ทุกอย่าง ส่งทุกอย่าง แล้วใครจะใช้แอพ Villa",ขออภัยที่สั่งได้แค่ของแห้ง ของสดสั่งไม่ได้ ทั้งที่ร้านอื่นส่งครบ เราทราบว่าแอปจำกัดบางหมวดและส่งต่อให้ทีมแอปกับทีมสต็อกแล้วค่ะ,f217b018-0ca0-4a7c-9dd7-2732611fdabb
Dakota,android,"th,us",1,2026-04-10T04:50:45Z,bug,very low quality and performance app. everything else on my phone works perfectly fine but this app. don't download it!,Sorry the app feels low quality and slow when everything else on your phone is fine. Performance on Android is a real complaint we're tracking — thanks for saying it plainly.,111f417a-ef53-4d66-9e6c-3a6bcef7e8b3
Nice Paul,ios,th,2,2026-03-27T04:08:17Z,checkout,"After paying for the order, the goods still appear in the cart and the app shows ‘processing payment’ even after payment has gone through. I’ve brought this to the attention of their customer service maybe a dozen times but it never gets fixed. Extremely disappointing.",We're sorry — a cart that still shows paid items and stays on 'processing payment' after you've paid (and after many CS reports) is unacceptable. Escalated to the payments/app team with your review attached.,13891312626
Farang working in Thailand,ios,th,1,2026-03-20T03:08:29Z,checkout,"Living in Bangkok and everyone told me to shop at Villa for western groceries. I thought, ok cool. Let’s try ordering delivery. Download the app. Doesn’t load. Open close open close. Finally opens. Select the location closest to me. Fill my cart. Asks to verify phone number. Put it in. Get messaged code. Doesn’t load. Try email. Doesn’t load. After multiple tries, finally works. Tries to check out, and then says wrong location even though this is the location closest to me. I switch the options available. Empties my cart! What a huge waste of time. I’ll try in person maybe in the future, but not any time soon.","Sorry that first try was so rough — load stalls, verify delays, wrong-location errors, then an emptied cart. Please update the iOS app and retry with Live Chat open if anything blocks checkout. You can also email online@villamarket.com with your phone number and what failed last; our team can help you complete a first order.",13866633341
John Foderaro,android,"th,us",3,2026-03-18T07:01:38Z,bug,otp working again. I still would like fingerprint authorization rather than pin authorization,Glad OTP is working again. Noted on fingerprint instead of PIN — we've passed the biometric-login request to the Android team.,794d2d7b-669f-4491-af96-0d3dad3fcf1f
greendaisy1,ios,th,1,2026-03-11T11:29:52Z,bug,"It keeps saying that my password is incorrect, so I clicked on Forget Password and entered my phone number and Continue. But nothing showed up, except when I clicked Continue three times, it said that I have exceeded the attempt limit. Useless and non-functional app. There is no customer service on LINE. Phone support also hangs up as soon as I say Hello. Very bad service overall.",Sorry the password loop and Forget Password flow blocked you — and that support wasn't reachable. Please email ewallet@villamarket.com with your registered phone number so we can unlock the account. You can also reach us via Live Chat in the app once you're signed in.,13836518270
Orientix,ios,hk,1,2026-01-16T11:57:03Z,bug,"Cannot log in. Apparently new app. They indicate to create new account using old tel number. Does not work. Cannot create. Also tried on website. Only many error messages. Sent email, they don’t reply.",Sorry you hit errors signing in with your old number. Please email ewallet@villamarket.com with that registered phone number and a screenshot of the error — the team can link your account. Which number did you register with?,13639577312
Paid member,ios,us,3,2026-01-10T08:50:52Z,bug,Cannot complete wallet setup because app freezes and crashes,Sorry wallet setup freezes and crashes before you can finish — especially as a paid member. We've sent the wallet crash report to the iOS/payments team.,13616278897
